	NK_D_L	NK_D_H	NK_E_L	NK_E_H	NK_F_L	NK_F_H	NK_K_L	NK_K_H	NK_L_L	NK_L_H	NK_M_L	NK_M_H	NK_N_L	NK_N_H
ENSG00000009413	3365	2008	2900	2591	2314	2145	3954	2631	2207	1403	1887	2641	3978	2230
ENSG00000009694	1331	1284	1193	1445	1714	1678	1678	1065	1202	1494	2074	2006	3104	1893
ENSG00000009709	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724	100	115	59	103	150	99	214	128	119	108	35	98	171	173
ENSG00000009765	1	0	0	0	0	0	0	1	0	0	0	0	1	1
ENSG00000009780	944	930	758	1165	941	970	1670	1187	799	1078	940	1475	1639	1236
ENSG00000009790	11606	10280	12352	10604	12202	11125	16876	16433	17056	15943	12768	14626	26048	19497
ENSG00000009830	371	400	374	222	365	318	501	461	342	119	320	465	424	348
ENSG00000009844	4397	3942	3536	3711	3479	3313	5967	5547	3951	3279	3324	4342	5659	3985
ENSG00000009950	0	0	1	0	0	1	0	0	2	0	2	2	0	0
ENSG00000009954	3353	2648	3220	2596	2421	2579	6204	4825	4208	2900	3641	3482	5941	3564
ENSG00000010017	1685	1429	1559	1208	1494	1292	2148	1556	1144	801	1282	1699	2077	1540
ENSG00000010030	70	125	109	81	1	16	494	275	0	0	301	264	126	152
ENSG00000010072	3794	3698	2857	3060	2456	2846	5366	5220	3272	4920	4898	5355	6636	4695
ENSG00000010165	588	561	769	645	465	484	1114	1032	558	560	619	491	1371	1300
ENSG00000010219	665	333	580	321	577	593	695	789	910	741	993	1047	1218	992
ENSG00000010244	28887	29599	26167	26872	24664	24121	40756	33015	25982	16505	17071	26407	40774	29801
ENSG00000010256	12907	11389	12854	9895	11078	10021	26792	25928	23444	24020	20238	24274	35046	24196
ENSG00000010270	4343	4733	4141	4585	5051	4020	8125	8490	6931	5579	5577	6956	11942	7459
ENSG00000010278	161	52	96	21	219	59	40	58	192	6	150	176	224	64
ENSG00000010282	0	0	0	0	4	0	1	0	0	0	0	0	0	0
ENSG00000010292	2546	1998	2935	2513	2079	1497	4743	2446	1812	1373	1074	1897	5960	3079
ENSG00000010295	6899	7258	9875	7467	7353	6964	9304	7716	6739	5005	4431	7366	10566	8559
ENSG00000010310	183	309	212	161	323	425	500	279	186	465	723	539	545	391
ENSG00000010318	714	676	762	674	1107	1056	1055	1266	1053	1304	1067	989	1684	1268
ENSG00000010319	1	0	0	3	0	0	0	0	0	0	0	0	0	2
ENSG00000010322	7942	8520	10698	7906	7040	6713	12372	9881	7079	6602	6797	8554	11191	10185
ENSG00000010327	30	117	139	3	84	26	0	0	24	4	2	0	40	0
ENSG00000010361	458	617	485	382	549	476	607	531	394	590	344	531	845	680
ENSG00000010379	0	1	44	7	13	0	4	14	0	4	21	19	24	10
ENSG00000010404	8776	9981	9214	9875	7026	8357	12725	12352	7675	11502	11557	12199	13313	11333
ENSG00000010438	4	11	6	4	7	12	0	0	43	19	8	0	2	2
ENSG00000010539	499	921	516	779	481	553	998	694	565	539	314	566	1654	1039
ENSG00000010610	71	22	307	0	425	117	78	0	86	0	60	40	30	0
ENSG00000010626	390	531	483	390	391	485	564	609	364	548	333	562	781	751
ENSG00000010671	60	36	132	24	74	42	25	0	14	26	72	44	75	55
ENSG00000010704	0	30	3	12	20	23	58	80	2	10	2	8	6	18
ENSG00000010803	875	556	848	498	627	363	755	432	510	431	410	420	711	251
ENSG00000010810	46150	56538	53237	55640	44826	49856	94210	76812	60851	52487	35163	56876	94999	74349
ENSG00000010818	1761	1244	1475	1410	1208	1022	1587	890	1206	1518	952	927	1815	1428
ENSG00000010932	18	17	7	28	20	11	23	10	10	14	16	23	23	20
ENSG00000011007	11737	11254	11017	10197	9479	8789	19394	16460	10266	8306	8771	12059	17989	11491
ENSG00000011009	2443	1691	3536	1810	2353	1861	5580	5957	5348	6705	5874	6318	9777	7115
ENSG00000011021	1960	1838	2375	2114	1915	1747	2055	1535	1427	1362	1381	1703	2462	1644
ENSG00000011028	8	0	25	59	20	0	4	12	18	0	0	10	8	2
ENSG00000011052	82	43	49	57	54	46	0	0	0	0	0	0	0	0
ENSG00000011083	0	0	0	0	0	0	0	0	0	8	33	4	40	26
ENSG00000011105	0	20	5	0	25	9	14	12	12	29	9	0	60	14
ENSG00000011114	2324	2005	2278	2395	2204	2036	3277	2511	2059	1321	1479	1915	3112	2628
ENSG00000011132	1422	1381	2081	1435	1252	1058	2875	2140	2036	2329	2025	2103	2624	2562
ENSG00000011143	770	370	730	354	260	452	819	801	732	413	341	501	1772	964
